perioda	phase	group
15.5	3.7044054473	3.1342470372
15.6	3.7087483443	3.1364222471
15.7	3.7130824124	3.1386125298
15.8	3.7174053757	3.1409186991
15.9	3.7217187436	3.1432366515
16	3.726021767	3.1455853695
16.1	3.7303129279	3.1480237688
16.2	3.7345929811	3.1504909071
16.3	3.7388611722	3.1530059121
16.4	3.7431167417	3.1555878336
16.5	3.7473596879	3.1582169054
16.6	3.7515892515	3.1609124122
16.7	3.7558061941	3.1636173228
16.8	3.7600090035	3.1663893939
16.9	3.764197678	3.1692105614
17	3.768371458	3.1721006054
17.1	3.7725311047	3.1750053495
17.2	3.7766751041	3.1779818827
17.3	3.7808042168	3.1809774116
17.4	3.7849176906	3.1840126205
17.5	3.789014005	3.1871439219
17.6	3.793094678	3.1902847749
17.7	3.7971589594	3.1934564179
17.8	3.8012060937	3.1966799961
17.9	3.8052360837	3.1999418075
18	3.8092481721	3.2032632073
18.1	3.8132423598	3.2066312075
18.2	3.8172194136	3.2099993947
18.3	3.821177059	3.2134574923
18.4	3.8251168159	3.2169263574
18.5	3.8290379333	3.2204284154
18.6	3.8329396547	3.223985961
18.7	3.836822745	3.2275556287
18.8	3.8406856892	3.2311927842
18.9	3.8445292499	3.2348551191
19	3.848353435	3.2385335164
19.1	3.8521574916	3.242251174
19.2	3.8559406618	3.2460311232
19.3	3.8597044721	3.2498020552
19.4	3.8634466481	3.2536502097
19.5	3.8671694765	3.2574746838
19.6	3.8708706853	3.2613612849
19.7	3.8745510382	3.2652722926
19.8	3.8782097799	3.2692316344
19.9	3.8818484395	3.27317271
20	3.8854647434	3.2771800194
20.1	3.8890602174	3.2811881513
20.2	3.8926333473	3.2852512394
20.3	3.8961856609	3.2893054019
20.4	3.8997156452	3.2934046818
20.5	3.9032240668	3.2975155731
20.6	3.9067101721	3.3016629016
20.7	3.9101747289	3.3058141916
20.8	3.9136169846	3.3099945114
20.9	3.9170377083	3.314172368
21	3.9204353853	3.3184009969
21.1	3.9238115436	3.3226216831
21.2	3.9271646695	3.3268874735
21.3	3.9304962917	3.3311409057
21.4	3.9338056599	3.3354075814
21.5	3.9370920189	3.3397127876
21.6	3.9403561359	3.3440277255
21.7	3.9435987823	3.3483243652
21.8	3.9468184448	3.3526550477
21.9	3.9500151278	3.3570184979
22	3.9531903621	3.361361234
22.1	3.9563426342	3.3657351658
22.2	3.9594734748	3.3700878404
22.3	3.9625813704	3.3744708547
22.4	3.9656670887	3.3788582837
22.5	3.968730638	3.3832502611
22.6	3.9717712636	3.387672292
22.7	3.974790496	3.3920742985
22.8	3.9777875838	3.3964820941
22.9	3.9807625346	3.4008963482
23	3.9837153561	3.4053178458
23.1	3.9866468186	3.4097230263
23.2	3.9895561695	3.4141375373
23.3	3.9924434156	3.418562471
23.4	3.9953085637	3.4229990082
23.5	3.9981523829	3.4274245511
23.6	4.0009748827	3.4318407807
23.7	4.0037753088	3.4362730217
23.8	4.0065551927	3.4406758895
23.9	4.0093130197	3.4450981731
24	4.0120495576	3.4495183154
24.1	4.014765577	3.4539152786
24.2	4.017459562	3.4583371594
24.3	4.0201330424	3.4627402091
24.4	4.0227860275	3.4671268427
24.5	4.0254177631	3.4715219732
24.6	4.0280290181	3.4759054073
24.7	4.0306198002	3.4802796302
24.8	4.0331901173	3.484647142
24.9	4.0357399765	3.4890104545
25	4.0382693847	3.493372087
25.1	4.0407791113	3.4977128719
25.2	4.0432691647	3.5020356445
25.3	4.0457387902	3.5063646764
25.4	4.048188756	3.5106811674
25.5	4.0506190693	3.5149879315
25.6	4.053029737	3.5192877693
25.7	4.0554215285	3.5235625151
25.8	4.0577936893	3.5278360672
25.9	4.0601469878	3.5320904593
26	4.0624806687	3.5363493061
26.1	4.0647962627	3.5405743505
26.2	4.0670922528	3.5448095734
26.3	4.069370169	3.5490171233
26.4	4.0716300192	3.5532001906
26.5	4.073871048	3.5573819489
26.6	4.0760940234	3.5615453207
26.7	4.0782989521	3.5656933828
26.8	4.0804858406	3.5698291713
26.9	4.0826546946	3.5739556801
27	4.0848062827	3.5780563918
27.1	4.086939849	3.5821538506
27.2	4.0890569242	3.5862124097
27.3	4.0911559905	3.5902737265
27.4	4.093238578	3.5943024821
27.5	4.095303168	3.5983398125
27.6	4.0973520528	3.6023318819
27.7	4.0993837148	3.6063195762
27.8	4.1013981585	3.6103057295
27.9	4.1033969139	3.6142560647
28	4.1053792253	3.6181922647
28.1	4.1073458608	3.6220989352
28.2	4.1092960637	3.6259974466
28.3	4.1112306016	3.6298724892
28.4	4.1131487172	3.6337451237
28.5	4.1150519402	3.6375821808
28.6	4.1169395143	3.6414046662
28.7	4.1188114442	3.6452154292
28.8	4.1206684975	3.648999605
