perioda	phase	group
55.3	3.9685454181	3.8453169405
55.4	3.9687752349	3.8453437851
55.5	3.9690058106	3.8453450777
55.6	3.9692356199	3.8453683928
55.7	3.9694654253	3.8453900807
55.8	3.9696952269	3.8454102419
55.9	3.9699250246	3.8454289752
56	3.9701555816	3.8454228899
56.1	3.9703853722	3.8454390904
56.2	3.9706151592	3.8454541495
56.3	3.9708449425	3.8454681594
56.4	3.9710747221	3.8454812109
56.5	3.9713052611	3.8454701313
56.6	3.971535034	3.845481564
56.7	3.9717648033	3.8454923009
56.8	3.971995332	3.8454792986
56.9	3.9722250947	3.8454889282
57	3.9724548539	3.845498111
57.1	3.9726853725	3.845483932
57.2	3.9729151252	3.8454924926
57.3	3.9731456373	3.845477935
57.4	3.9733761464	3.8454633185
57.5	3.9736058896	3.8454715381
57.6	3.9738363923	3.8454569937
57.7	3.974066892	3.8454426096
57.8	3.9742973886	3.8454284562
57.9	3.9745278823	3.8454146027
58	3.974758373	3.8454011172
58.1	3.9749888607	3.8453880661
58.2	3.9752193455	3.8453755152
58.3	3.9754498272	3.8453635285
58.4	3.975680306	3.8453521692
58.5	3.9759115447	3.8453191046
58.6	3.9761420179	3.845309216
58.7	3.976373251	3.8452778259
58.8	3.9766044814	3.8452473766
58.9	3.9768349463	3.8452401538
59	3.9770661711	3.8452117259
59.1	3.9772973933	3.8451844072
59.2	3.9775286128	3.8451582519
59.3	3.9777598296	3.8451333127
59.4	3.9779918067	3.8450876181
59.5	3.9782230185	3.8450652969
59.6	3.9784549905	3.845022402
59.7	3.9786861971	3.8450028983
59.8	3.978918164	3.8449629984
59.9	3.9791501285	3.8449246818
60	3.9793820905	3.8448879946
60.1	3.97961405	3.8448529817
60.2	3.9798460071	3.8448196872
60.3	3.9800779617	3.8447881542
60.4	3.9803106767	3.844736801
60.5	3.9805426266	3.8447089472
60.6	3.9807753369	3.8446614334
60.7	3.9810080449	3.844615914
60.8	3.9812407506	3.8445724277
60.9	3.9814734541	3.8445310124
61	3.9817069182	3.8444703144
61.1	3.9819396173	3.844433181
61.2	3.9821730769	3.8443769135
61.3	3.9824057716	3.8443442038
61.4	3.9826392267	3.844292505
61.5	3.9828726797	3.8442431552
61.6	3.9831068935	3.8441750247
61.7	3.9833403425	3.8441304981
61.8	3.9835745521	3.8440673285
61.9	3.9838079969	3.8440277483
62	3.9840422023	3.8439696595
62.1	3.9842764058	3.8439141688
